category,headline,authors,link,short_description,date,Indexes
SCIENCE,SpaceX Rocket Blasts Off Carrying NASA's New Planet-Hunting Telescope,"Joey Roullette, Reuters",https://www.huffingtonpost.com/entry/spacex-launch-tess-satellite_us_5ad83219e4b03c426dab4e24,The telescope is designed to detect worlds beyond our solar system that might be capable of harboring life.,2018-04-19,0
TECH,"Elon Musk Pulls Tesla, SpaceX Facebook Pages In Nod To #DeleteFacebook",Ryan Grenoble,https://www.huffingtonpost.com/entry/elon-musk-deletes-facebook-accounts-spacex-tesla-pages_us_5ab52c26e4b0decad0499f06,He also deleted his personal profile.,2018-03-23,23
SCIENCE,SpaceX Launches Its First Recycled Cargo Ship Into Orbit,Carla Herreria,https://www.huffingtonpost.com/entry/spacex-launches-first-recycled-cargo_us_59332c19e4b0c242ca24a351,The refurbished capsule brings us one step closer to cheaper space travel.,2017-06-04,0
TECH,SpaceX Launches And Lands The First Recycled Orbital Rocket Ever,Michael McLaughlin,https://www.huffingtonpost.com/entry/spacex-recycled-rocket-launch_us_58dd86c1e4b05eae031e881c,"It's cool because with reusable rockets, space flight could get cheaper.",2017-03-30,0
SCIENCE,SpaceX To Send Two Private Citizens Around The Moon In 2018,Chris D'Angelo,https://www.huffingtonpost.com/entry/spacex-moon-mission-2018_us_58b0c503e4b0a8a9b7827676,Elon Musk just doesn't quit.,2017-02-27,0
SCIENCE,"SpaceX Launches Rocket From NASA Pad In Florida, Completes Re-landing","Irene Klotz, Reuters",https://www.huffingtonpost.com/entry/spacex-launches-rocket-from-nasa-pad-in-florida-completes-re-landing_us_58a9bf37e4b037d17d28da8e,"The rocket, which launched at 9:39 a.m. EST, carried a cargo ship with about 5,500 pounds (2,500 kg) of supplies and experiments for the International Space Station.",2017-02-19,0
BUSINESS,"Elon Musk's Tesla, SpaceX Join Companies Opposing Donald Trump's Immigration Order",Chris D'Angelo,https://www.huffingtonpost.com/entry/elon-musk-tesla-spacex-join-challenge-trump-immigration-ban_us_5898ffb4e4b09bd304bd2a79,"So far, there are 127.",2017-02-07,19
SCIENCE,"SpaceX Launches First Rocket Since Explosion, Returns Stage To Earth",,https://www.huffingtonpost.com/entry/spacex-launches-first-rocket-since-explosion_us_587a7bebe4b0b3c7a7b1b22c,Saturday’s flight begins to clear a logjam of more than 70 planned missions.,2017-01-14,0
BUSINESS,SpaceX Executive Quits To Fight Trump As A Grassroots Activist,Ryan Grenoble,https://www.huffingtonpost.com/entry/spacex-exec-quits-fight-trump-dex-torricke-barton_us_582c84bce4b099512f801611,"""The only reason to leave my dream job was to go and fight a nightmare.""",2016-11-16,0
SCIENCE,Elon Musk's SpaceX Has Company In The Race To Mars,Chris D'Angelo,https://www.huffingtonpost.com/entry/boeing-race-to-mars_us_57f539d1e4b002a73120202e,"Gentlemen, start your engines.",2016-10-05,12
